Month of Period End,Region,Avg. Median Sale Price
February 2014,"San Diego, CA - Rolando",$391K
March 2014,"San Diego, CA - Rolando",$388K
April 2014,"San Diego, CA - Rolando",$414K
May 2014,"San Diego, CA - Rolando",$431K
June 2014,"San Diego, CA - Rolando",$436K
July 2014,"San Diego, CA - Rolando",$423K
August 2014,"San Diego, CA - Rolando",$410K
September 2014,"San Diego, CA - Rolando",$376K
October 2014,"San Diego, CA - Rolando",$410K
November 2014,"San Diego, CA - Rolando",$416K
December 2014,"San Diego, CA - Rolando",$420K
January 2015,"San Diego, CA - Rolando",$433K
February 2015,"San Diego, CA - Rolando",$440K
March 2015,"San Diego, CA - Rolando",$438K
April 2015,"San Diego, CA - Rolando",$431K
May 2015,"San Diego, CA - Rolando",$399K
June 2015,"San Diego, CA - Rolando",$430K
July 2015,"San Diego, CA - Rolando",$454K
August 2015,"San Diego, CA - Rolando",$475K
September 2015,"San Diego, CA - Rolando",$454K
October 2015,"San Diego, CA - Rolando",$445K
November 2015,"San Diego, CA - Rolando",$440K
December 2015,"San Diego, CA - Rolando",$416K
January 2016,"San Diego, CA - Rolando",$416K
February 2016,"San Diego, CA - Rolando",$466K
March 2016,"San Diego, CA - Rolando",$486K
April 2016,"San Diego, CA - Rolando",$492K
May 2016,"San Diego, CA - Rolando",$482K
June 2016,"San Diego, CA - Rolando",$465K
July 2016,"San Diego, CA - Rolando",$434K
August 2016,"San Diego, CA - Rolando",$453K
September 2016,"San Diego, CA - Rolando",$475K
October 2016,"San Diego, CA - Rolando",$481K
November 2016,"San Diego, CA - Rolando",$483K
December 2016,"San Diego, CA - Rolando",$490K
January 2017,"San Diego, CA - Rolando",$500K
February 2017,"San Diego, CA - Rolando",$469K
March 2017,"San Diego, CA - Rolando",$470K
April 2017,"San Diego, CA - Rolando",$485K
May 2017,"San Diego, CA - Rolando",$495K
June 2017,"San Diego, CA - Rolando",$525K
July 2017,"San Diego, CA - Rolando",$515K
August 2017,"San Diego, CA - Rolando",$516K
September 2017,"San Diego, CA - Rolando",$517K
October 2017,"San Diego, CA - Rolando",$540K
November 2017,"San Diego, CA - Rolando",$555K
December 2017,"San Diego, CA - Rolando",$545K
January 2018,"San Diego, CA - Rolando",$465K
February 2018,"San Diego, CA - Rolando",$448K
March 2018,"San Diego, CA - Rolando",$457K
April 2018,"San Diego, CA - Rolando",$529K
May 2018,"San Diego, CA - Rolando",$529K
June 2018,"San Diego, CA - Rolando",$589K
July 2018,"San Diego, CA - Rolando",$579K
August 2018,"San Diego, CA - Rolando",$583K
September 2018,"San Diego, CA - Rolando",$544K
October 2018,"San Diego, CA - Rolando",$557K
November 2018,"San Diego, CA - Rolando",$544K
December 2018,"San Diego, CA - Rolando",$543K
January 2019,"San Diego, CA - Rolando",$541K
February 2019,"San Diego, CA - Rolando",$548K
March 2019,"San Diego, CA - Rolando",$536K
April 2019,"San Diego, CA - Rolando",$498K
May 2019,"San Diego, CA - Rolando",$530K
June 2019,"San Diego, CA - Rolando",$600K
July 2019,"San Diego, CA - Rolando",$630K
August 2019,"San Diego, CA - Rolando",$625K
September 2019,"San Diego, CA - Rolando",$613K
October 2019,"San Diego, CA - Rolando",$568K
November 2019,"San Diego, CA - Rolando",$565K
December 2019,"San Diego, CA - Rolando",$573K
January 2020,"San Diego, CA - Rolando",$575K
February 2020,"San Diego, CA - Rolando",$564K
March 2020,"San Diego, CA - Rolando",$564K
April 2020,"San Diego, CA - Rolando",$324K
May 2020,"San Diego, CA - Rolando",$350K
June 2020,"San Diego, CA - Rolando",$335K
July 2020,"San Diego, CA - Rolando",$523K
August 2020,"San Diego, CA - Rolando",$537K
September 2020,"San Diego, CA - Rolando",$624K
October 2020,"San Diego, CA - Rolando",$622K
November 2020,"San Diego, CA - Rolando",$616K
December 2020,"San Diego, CA - Rolando",$660K
January 2021,"San Diego, CA - Rolando",$679K
February 2021,"San Diego, CA - Rolando",$575K
March 2021,"San Diego, CA - Rolando",$435K
April 2021,"San Diego, CA - Rolando",$614K
May 2021,"San Diego, CA - Rolando",$709K
June 2021,"San Diego, CA - Rolando",$715K
July 2021,"San Diego, CA - Rolando",$740K
August 2021,"San Diego, CA - Rolando",$741K
September 2021,"San Diego, CA - Rolando",$763K
October 2021,"San Diego, CA - Rolando",$720K
November 2021,"San Diego, CA - Rolando",$732K
February 2012,"San Diego, CA - Ridgewood",$445K
March 2012,"San Diego, CA - Ridgewood",$440K
April 2012,"San Diego, CA - Ridgewood",$410K
May 2012,"San Diego, CA - Ridgewood",$435K
June 2012,"San Diego, CA - Ridgewood",$460K
July 2012,"San Diego, CA - Ridgewood",$470K
August 2012,"San Diego, CA - Ridgewood",$470K
September 2012,"San Diego, CA - Ridgewood",$438K
October 2012,"San Diego, CA - Ridgewood",$440K
November 2012,"San Diego, CA - Ridgewood",$435K
December 2012,"San Diego, CA - Ridgewood",$491K
January 2013,"San Diego, CA - Ridgewood",$499K
February 2013,"San Diego, CA - Ridgewood",$462K
March 2013,"San Diego, CA - Ridgewood",$535K
April 2013,"San Diego, CA - Ridgewood",$580K
May 2013,"San Diego, CA - Ridgewood",$584K
June 2013,"San Diego, CA - Ridgewood",$600K
July 2013,"San Diego, CA - Ridgewood",$592K
August 2013,"San Diego, CA - Ridgewood",$560K
September 2013,"San Diego, CA - Ridgewood",$548K
October 2013,"San Diego, CA - Ridgewood",$560K
November 2013,"San Diego, CA - Ridgewood",$600K
December 2013,"San Diego, CA - Ridgewood",$610K
January 2014,"San Diego, CA - Ridgewood",$627K
February 2014,"San Diego, CA - Ridgewood",$615K
March 2014,"San Diego, CA - Ridgewood",$598K
April 2014,"San Diego, CA - Ridgewood",$620K
May 2014,"San Diego, CA - Ridgewood",$620K
June 2014,"San Diego, CA - Ridgewood",$610K
July 2014,"San Diego, CA - Ridgewood",$604K
August 2014,"San Diego, CA - Ridgewood",$601K
September 2014,"San Diego, CA - Ridgewood",$609K
October 2014,"San Diego, CA - Ridgewood",$623K
November 2014,"San Diego, CA - Ridgewood",$612K
December 2014,"San Diego, CA - Ridgewood",$576K
January 2015,"San Diego, CA - Ridgewood",$562K
February 2015,"San Diego, CA - Ridgewood",$547K
March 2015,"San Diego, CA - Ridgewood",$600K
April 2015,"San Diego, CA - Ridgewood",$666K
May 2015,"San Diego, CA - Ridgewood",$666K
June 2015,"San Diego, CA - Ridgewood",$705K
July 2015,"San Diego, CA - Ridgewood",$730K
August 2015,"San Diego, CA - Ridgewood",$745K
September 2015,"San Diego, CA - Ridgewood",$733K
October 2015,"San Diego, CA - Ridgewood",$675K
November 2015,"San Diego, CA - Ridgewood",$641K
December 2015,"San Diego, CA - Ridgewood",$629K
January 2016,"San Diego, CA - Ridgewood",$579K
February 2016,"San Diego, CA - Ridgewood",$586K
March 2016,"San Diego, CA - Ridgewood",$632K
April 2016,"San Diego, CA - Ridgewood",$667K
May 2016,"San Diego, CA - Ridgewood",$645K
June 2016,"San Diego, CA - Ridgewood",$697K
July 2016,"San Diego, CA - Ridgewood",$703K
August 2016,"San Diego, CA - Ridgewood",$690K
September 2016,"San Diego, CA - Ridgewood",$702K
October 2016,"San Diego, CA - Ridgewood",$648K
November 2016,"San Diego, CA - Ridgewood",$660K
December 2016,"San Diego, CA - Ridgewood",$630K
January 2017,"San Diego, CA - Ridgewood",$681K
February 2017,"San Diego, CA - Ridgewood",$706K
March 2017,"San Diego, CA - Ridgewood",$730K
April 2017,"San Diego, CA - Ridgewood",$730K
May 2017,"San Diego, CA - Ridgewood",$716K
June 2017,"San Diego, CA - Ridgewood",$702K
July 2017,"San Diego, CA - Ridgewood",$731K
August 2017,"San Diego, CA - Ridgewood",$765K
September 2017,"San Diego, CA - Ridgewood",$710K
October 2017,"San Diego, CA - Ridgewood",$705K
November 2017,"San Diego, CA - Ridgewood",$705K
December 2017,"San Diego, CA - Ridgewood",$740K
January 2018,"San Diego, CA - Ridgewood",$740K
February 2018,"San Diego, CA - Ridgewood",$740K
March 2018,"San Diego, CA - Ridgewood",$735K
April 2018,"San Diego, CA - Ridgewood",$720K
May 2018,"San Diego, CA - Ridgewood",$740K
June 2018,"San Diego, CA - Ridgewood",$760K
July 2018,"San Diego, CA - Ridgewood",$794K
August 2018,"San Diego, CA - Ridgewood",$794K
September 2018,"San Diego, CA - Ridgewood",$771K
October 2018,"San Diego, CA - Ridgewood",$740K
November 2018,"San Diego, CA - Ridgewood",$720K
December 2018,"San Diego, CA - Ridgewood",$720K
January 2019,"San Diego, CA - Ridgewood",$818K
February 2019,"San Diego, CA - Ridgewood",$794K
March 2019,"San Diego, CA - Ridgewood",$787K
April 2019,"San Diego, CA - Ridgewood",$730K
May 2019,"San Diego, CA - Ridgewood",$778K
June 2019,"San Diego, CA - Ridgewood",$845K
July 2019,"San Diego, CA - Ridgewood",$839K
August 2019,"San Diego, CA - Ridgewood",$830K
September 2019,"San Diego, CA - Ridgewood",$771K
October 2019,"San Diego, CA - Ridgewood",$768K
November 2019,"San Diego, CA - Ridgewood",$765K
December 2019,"San Diego, CA - Ridgewood",$730K
January 2020,"San Diego, CA - Ridgewood",$760K
February 2020,"San Diego, CA - Ridgewood",$683K
March 2020,"San Diego, CA - Ridgewood",$763K
April 2020,"San Diego, CA - Ridgewood",$805K
May 2020,"San Diego, CA - Ridgewood",$806K
June 2020,"San Diego, CA - Ridgewood",$888K
July 2020,"San Diego, CA - Ridgewood",$881K
August 2020,"San Diego, CA - Ridgewood",$875K
September 2020,"San Diego, CA - Ridgewood",$800K
October 2020,"San Diego, CA - Ridgewood",$773K
November 2020,"San Diego, CA - Ridgewood",$839K
December 2020,"San Diego, CA - Ridgewood",$860K
January 2021,"San Diego, CA - Ridgewood",$860K
February 2021,"San Diego, CA - Ridgewood",$877K
March 2021,"San Diego, CA - Ridgewood",$890K
April 2021,"San Diego, CA - Ridgewood",$913K
May 2021,"San Diego, CA - Ridgewood",$986K
June 2021,"San Diego, CA - Ridgewood","$1,001K"
July 2021,"San Diego, CA - Ridgewood","$1,298K"
August 2021,"San Diego, CA - Ridgewood","$1,287K"
September 2021,"San Diego, CA - Ridgewood","$1,303K"
October 2021,"San Diego, CA - Ridgewood","$1,180K"
November 2021,"San Diego, CA - Ridgewood","$1,265K"
February 2012,"San Diego, CA - Ridgeview",$181K
March 2012,"San Diego, CA - Ridgeview",$181K
April 2012,"San Diego, CA - Ridgeview",$206K
May 2012,"San Diego, CA - Ridgeview",$185K
June 2012,"San Diego, CA - Ridgeview",$206K
July 2012,"San Diego, CA - Ridgeview",$247K
August 2012,"San Diego, CA - Ridgeview",$254K
September 2012,"San Diego, CA - Ridgeview",$244K
October 2012,"San Diego, CA - Ridgeview",$258K
November 2012,"San Diego, CA - Ridgeview",$265K
December 2012,"San Diego, CA - Ridgeview",$283K
January 2013,"San Diego, CA - Ridgeview",$288K
February 2013,"San Diego, CA - Ridgeview",$319K
March 2013,"San Diego, CA - Ridgeview",$270K
April 2013,"San Diego, CA - Ridgeview",$245K
May 2013,"San Diego, CA - Ridgeview",$280K
June 2013,"San Diego, CA - Ridgeview",$300K
July 2013,"San Diego, CA - Ridgeview",$300K
August 2013,"San Diego, CA - Ridgeview",$325K
September 2013,"San Diego, CA - Ridgeview",$341K
October 2013,"San Diego, CA - Ridgeview",$341K
November 2013,"San Diego, CA - Ridgeview",$341K
January 2014,"San Diego, CA - Ridgeview",$253K
February 2014,"San Diego, CA - Ridgeview",$253K
March 2014,"San Diego, CA - Ridgeview",$285K
April 2014,"San Diego, CA - Ridgeview",$285K
May 2014,"San Diego, CA - Ridgeview",$285K
June 2014,"San Diego, CA - Ridgeview",$280K
July 2014,"San Diego, CA - Ridgeview",$412K
August 2014,"San Diego, CA - Ridgeview",$335K
September 2014,"San Diego, CA - Ridgeview",$362K
October 2014,"San Diego, CA - Ridgeview",$335K
November 2014,"San Diego, CA - Ridgeview",$350K
December 2014,"San Diego, CA - Ridgeview",$310K
January 2015,"San Diego, CA - Ridgeview",$300K
February 2015,"San Diego, CA - Ridgeview",$280K
March 2015,"San Diego, CA - Ridgeview",$375K
April 2015,"San Diego, CA - Ridgeview",$325K
May 2015,"San Diego, CA - Ridgeview",$275K
June 2015,"San Diego, CA - Ridgeview",$354K
July 2015,"San Diego, CA - Ridgeview",$374K
August 2015,"San Diego, CA - Ridgeview",$370K
September 2015,"San Diego, CA - Ridgeview",$382K
October 2015,"San Diego, CA - Ridgeview",$353K
December 2015,"San Diego, CA - Ridgeview",$435K
January 2016,"San Diego, CA - Ridgeview",$435K
February 2016,"San Diego, CA - Ridgeview",$435K
March 2016,"San Diego, CA - Ridgeview",$420K
April 2016,"San Diego, CA - Ridgeview",$420K
May 2016,"San Diego, CA - Ridgeview",$403K
June 2016,"San Diego, CA - Ridgeview",$385K
July 2016,"San Diego, CA - Ridgeview",$395K
August 2016,"San Diego, CA - Ridgeview",$405K
September 2016,"San Diego, CA - Ridgeview",$432K
October 2016,"San Diego, CA - Ridgeview",$432K
November 2016,"San Diego, CA - Ridgeview",$429K
December 2016,"San Diego, CA - Ridgeview",$402K
January 2017,"San Diego, CA - Ridgeview",$383K
February 2017,"San Diego, CA - Ridgeview",$383K
March 2017,"San Diego, CA - Ridgeview",$385K
April 2017,"San Diego, CA - Ridgeview",$415K
May 2017,"San Diego, CA - Ridgeview",$410K
June 2017,"San Diego, CA - Ridgeview",$430K
July 2017,"San Diego, CA - Ridgeview",$433K
August 2017,"San Diego, CA - Ridgeview",$444K
September 2017,"San Diego, CA - Ridgeview",$444K
October 2017,"San Diego, CA - Ridgeview",$446K
November 2017,"San Diego, CA - Ridgeview",$525K
December 2017,"San Diego, CA - Ridgeview",$503K
January 2018,"San Diego, CA - Ridgeview",$480K
February 2018,"San Diego, CA - Ridgeview",$470K
March 2018,"San Diego, CA - Ridgeview",$421K
April 2018,"San Diego, CA - Ridgeview",$421K
May 2018,"San Diego, CA - Ridgeview",$550K
June 2018,"San Diego, CA - Ridgeview",$395K
July 2018,"San Diego, CA - Ridgeview",$395K
August 2018,"San Diego, CA - Ridgeview",$484K
September 2018,"San Diego, CA - Ridgeview",$489K
October 2018,"San Diego, CA - Ridgeview",$501K
November 2018,"San Diego, CA - Ridgeview",$512K
December 2018,"San Diego, CA - Ridgeview",$512K
January 2019,"San Diego, CA - Ridgeview",$420K
February 2019,"San Diego, CA - Ridgeview",$470K
March 2019,"San Diego, CA - Ridgeview",$516K
April 2019,"San Diego, CA - Ridgeview",$520K
May 2019,"San Diego, CA - Ridgeview",$513K
June 2019,"San Diego, CA - Ridgeview",$507K
July 2019,"San Diego, CA - Ridgeview",$298K
August 2019,"San Diego, CA - Ridgeview",$300K
September 2019,"San Diego, CA - Ridgeview",$350K
October 2019,"San Diego, CA - Ridgeview",$400K
June 2020,"San Diego, CA - Ridgeview",$488K
July 2020,"San Diego, CA - Ridgeview",$488K
August 2020,"San Diego, CA - Ridgeview",$550K
September 2020,"San Diego, CA - Ridgeview",$568K
October 2020,"San Diego, CA - Ridgeview",$575K
November 2020,"San Diego, CA - Ridgeview",$580K
December 2020,"San Diego, CA - Ridgeview",$578K
January 2021,"San Diego, CA - Ridgeview",$586K
February 2021,"San Diego, CA - Ridgeview",$592K
March 2021,"San Diego, CA - Ridgeview",$592K
April 2021,"San Diego, CA - Ridgeview",$345K
May 2021,"San Diego, CA - Ridgeview",$512K
June 2021,"San Diego, CA - Ridgeview",$665K
July 2021,"San Diego, CA - Ridgeview",$680K
August 2021,"San Diego, CA - Ridgeview",$663K
September 2021,"San Diego, CA - Ridgeview",$688K
October 2021,"San Diego, CA - Ridgeview",$688K
November 2021,"San Diego, CA - Ridgeview",$625K
February 2012,"San Diego, CA - Redwood Village",$198K
March 2012,"San Diego, CA - Redwood Village",$155K
April 2012,"San Diego, CA - Redwood Village",$148K
May 2012,"San Diego, CA - Redwood Village",$150K
June 2012,"San Diego, CA - Redwood Village",$150K
July 2012,"San Diego, CA - Redwood Village",$183K
August 2012,"San Diego, CA - Redwood Village",$167K
September 2012,"San Diego, CA - Redwood Village",$160K
October 2012,"San Diego, CA - Redwood Village",$157K
November 2012,"San Diego, CA - Redwood Village",$163K
December 2012,"San Diego, CA - Redwood Village",$170K
January 2013,"San Diego, CA - Redwood Village",$255K
February 2013,"San Diego, CA - Redwood Village",$255K
March 2013,"San Diego, CA - Redwood Village",$271K
April 2013,"San Diego, CA - Redwood Village",$284K
May 2013,"San Diego, CA - Redwood Village",$289K
June 2013,"San Diego, CA - Redwood Village",$225K
July 2013,"San Diego, CA - Redwood Village",$225K
August 2013,"San Diego, CA - Redwood Village",$227K
September 2013,"San Diego, CA - Redwood Village",$247K
October 2013,"San Diego, CA - Redwood Village",$249K
November 2013,"San Diego, CA - Redwood Village",$255K
December 2013,"San Diego, CA - Redwood Village",$266K
January 2014,"San Diego, CA - Redwood Village",$261K
February 2014,"San Diego, CA - Redwood Village",$293K
March 2014,"San Diego, CA - Redwood Village",$234K
April 2014,"San Diego, CA - Redwood Village",$245K
May 2014,"San Diego, CA - Redwood Village",$245K
June 2014,"San Diego, CA - Redwood Village",$320K
July 2014,"San Diego, CA - Redwood Village",$320K
August 2014,"San Diego, CA - Redwood Village",$288K
September 2014,"San Diego, CA - Redwood Village",$254K
October 2014,"San Diego, CA - Redwood Village",$254K
November 2014,"San Diego, CA - Redwood Village",$246K
December 2014,"San Diego, CA - Redwood Village",$238K
January 2015,"San Diego, CA - Redwood Village",$227K
February 2015,"San Diego, CA - Redwood Village",$247K
March 2015,"San Diego, CA - Redwood Village",$327K
April 2015,"San Diego, CA - Redwood Village",$294K
May 2015,"San Diego, CA - Redwood Village",$245K
June 2015,"San Diego, CA - Redwood Village",$245K
July 2015,"San Diego, CA - Redwood Village",$249K
August 2015,"San Diego, CA - Redwood Village",$256K
September 2015,"San Diego, CA - Redwood Village",$260K
October 2015,"San Diego, CA - Redwood Village",$258K
November 2015,"San Diego, CA - Redwood Village",$258K
December 2015,"San Diego, CA - Redwood Village",$263K
January 2016,"San Diego, CA - Redwood Village",$300K
February 2016,"San Diego, CA - Redwood Village",$302K
March 2016,"San Diego, CA - Redwood Village",$333K
April 2016,"San Diego, CA - Redwood Village",$327K
May 2016,"San Diego, CA - Redwood Village",$304K
June 2016,"San Diego, CA - Redwood Village",$304K
July 2016,"San Diego, CA - Redwood Village",$360K
August 2016,"San Diego, CA - Redwood Village",$360K
September 2016,"San Diego, CA - Redwood Village",$294K
October 2016,"San Diego, CA - Redwood Village",$293K
November 2016,"San Diego, CA - Redwood Village",$300K
December 2016,"San Diego, CA - Redwood Village",$295K
January 2017,"San Diego, CA - Redwood Village",$280K
February 2017,"San Diego, CA - Redwood Village",$301K
March 2017,"San Diego, CA - Redwood Village",$412K
April 2017,"San Diego, CA - Redwood Village",$414K
May 2017,"San Diego, CA - Redwood Village",$330K
June 2017,"San Diego, CA - Redwood Village",$314K
July 2017,"San Diego, CA - Redwood Village",$330K
August 2017,"San Diego, CA - Redwood Village",$413K
September 2017,"San Diego, CA - Redwood Village",$415K
October 2017,"San Diego, CA - Redwood Village",$331K
November 2017,"San Diego, CA - Redwood Village",$326K
December 2017,"San Diego, CA - Redwood Village",$325K
January 2018,"San Diego, CA - Redwood Village",$307K
February 2018,"San Diego, CA - Redwood Village",$330K
March 2018,"San Diego, CA - Redwood Village",$359K
April 2018,"San Diego, CA - Redwood Village",$359K
May 2018,"San Diego, CA - Redwood Village",$332K
June 2018,"San Diego, CA - Redwood Village",$336K
July 2018,"San Diego, CA - Redwood Village",$330K
August 2018,"San Diego, CA - Redwood Village",$330K
September 2018,"San Diego, CA - Redwood Village",$348K
October 2018,"San Diego, CA - Redwood Village",$345K
November 2018,"San Diego, CA - Redwood Village",$348K
December 2018,"San Diego, CA - Redwood Village",$328K
January 2019,"San Diego, CA - Redwood Village",$338K
February 2019,"San Diego, CA - Redwood Village",$348K
March 2019,"San Diego, CA - Redwood Village",$395K
April 2019,"San Diego, CA - Redwood Village",$330K
May 2019,"San Diego, CA - Redwood Village",$330K
June 2019,"San Diego, CA - Redwood Village",$325K
July 2019,"San Diego, CA - Redwood Village",$323K
August 2019,"San Diego, CA - Redwood Village",$322K
September 2019,"San Diego, CA - Redwood Village",$325K
October 2019,"San Diego, CA - Redwood Village",$350K
November 2019,"San Diego, CA - Redwood Village",$348K
December 2019,"San Diego, CA - Redwood Village",$355K
January 2020,"San Diego, CA - Redwood Village",$355K
February 2020,"San Diego, CA - Redwood Village",$350K
March 2020,"San Diego, CA - Redwood Village",$350K
April 2020,"San Diego, CA - Redwood Village",$330K
May 2020,"San Diego, CA - Redwood Village",$373K
June 2020,"San Diego, CA - Redwood Village",$377K
July 2020,"San Diego, CA - Redwood Village",$426K
August 2020,"San Diego, CA - Redwood Village",$363K
September 2020,"San Diego, CA - Redwood Village",$367K
October 2020,"San Diego, CA - Redwood Village",$366K
November 2020,"San Diego, CA - Redwood Village",$422K
December 2020,"San Diego, CA - Redwood Village",$412K
January 2021,"San Diego, CA - Redwood Village",$473K
February 2021,"San Diego, CA - Redwood Village",$435K
March 2021,"San Diego, CA - Redwood Village",$520K
April 2021,"San Diego, CA - Redwood Village",$575K
May 2021,"San Diego, CA - Redwood Village",$493K
June 2021,"San Diego, CA - Redwood Village",$460K
July 2021,"San Diego, CA - Redwood Village",$453K
August 2021,"San Diego, CA - Redwood Village",$463K
September 2021,"San Diego, CA - Redwood Village",$465K
October 2021,"San Diego, CA - Redwood Village",$460K
November 2021,"San Diego, CA - Redwood Village",$425K
February 2012,"San Diego, CA - Rancho Penasquitos Town Center",$240K
March 2012,"San Diego, CA - Rancho Penasquitos Town Center",$240K
April 2012,"San Diego, CA - Rancho Penasquitos Town Center",$320K
May 2012,"San Diego, CA - Rancho Penasquitos Town Center",$403K
June 2012,"San Diego, CA - Rancho Penasquitos Town Center",$420K
July 2012,"San Diego, CA - Rancho Penasquitos Town Center",$426K
August 2012,"San Diego, CA - Rancho Penasquitos Town Center",$460K
September 2012,"San Diego, CA - Rancho Penasquitos Town Center",$460K
October 2012,"San Diego, CA - Rancho Penasquitos Town Center",$443K
November 2012,"San Diego, CA - Rancho Penasquitos Town Center",$223K
December 2012,"San Diego, CA - Rancho Penasquitos Town Center",$219K
January 2013,"San Diego, CA - Rancho Penasquitos Town Center",$219K
February 2013,"San Diego, CA - Rancho Penasquitos Town Center",$252K
March 2013,"San Diego, CA - Rancho Penasquitos Town Center",$281K
April 2013,"San Diego, CA - Rancho Penasquitos Town Center",$291K
May 2013,"San Diego, CA - Rancho Penasquitos Town Center",$296K
June 2013,"San Diego, CA - Rancho Penasquitos Town Center",$449K
July 2013,"San Diego, CA - Rancho Penasquitos Town Center",$428K
August 2013,"San Diego, CA - Rancho Penasquitos Town Center",$431K
September 2013,"San Diego, CA - Rancho Penasquitos Town Center",$454K
October 2013,"San Diego, CA - Rancho Penasquitos Town Center",$495K
November 2013,"San Diego, CA - Rancho Penasquitos Town Center",$428K
December 2013,"San Diego, CA - Rancho Penasquitos Town Center",$388K
January 2014,"San Diego, CA - Rancho Penasquitos Town Center",$390K
February 2014,"San Diego, CA - Rancho Penasquitos Town Center",$467K
March 2014,"San Diego, CA - Rancho Penasquitos Town Center",$404K
April 2014,"San Diego, CA - Rancho Penasquitos Town Center",$392K
May 2014,"San Diego, CA - Rancho Penasquitos Town Center",$448K
June 2014,"San Diego, CA - Rancho Penasquitos Town Center",$486K
July 2014,"San Diego, CA - Rancho Penasquitos Town Center",$530K
August 2014,"San Diego, CA - Rancho Penasquitos Town Center",$454K
September 2014,"San Diego, CA - Rancho Penasquitos Town Center",$404K
October 2014,"San Diego, CA - Rancho Penasquitos Town Center",$380K
November 2014,"San Diego, CA - Rancho Penasquitos Town Center",$380K
December 2014,"San Diego, CA - Rancho Penasquitos Town Center",$351K
January 2015,"San Diego, CA - Rancho Penasquitos Town Center",$352K
February 2015,"San Diego, CA - Rancho Penasquitos Town Center",$319K
March 2015,"San Diego, CA - Rancho Penasquitos Town Center",$404K
April 2015,"San Diego, CA - Rancho Penasquitos Town Center",$502K
May 2015,"San Diego, CA - Rancho Penasquitos Town Center",$517K
June 2015,"San Diego, CA - Rancho Penasquitos Town Center",$385K
July 2015,"San Diego, CA - Rancho Penasquitos Town Center",$370K
August 2015,"San Diego, CA - Rancho Penasquitos Town Center",$435K
September 2015,"San Diego, CA - Rancho Penasquitos Town Center",$365K
October 2015,"San Diego, CA - Rancho Penasquitos Town Center",$350K
November 2015,"San Diego, CA - Rancho Penasquitos Town Center",$323K
December 2015,"San Diego, CA - Rancho Penasquitos Town Center",$505K
January 2016,"San Diego, CA - Rancho Penasquitos Town Center",$505K
February 2016,"San Diego, CA - Rancho Penasquitos Town Center",$553K
March 2016,"San Diego, CA - Rancho Penasquitos Town Center",$368K
April 2016,"San Diego, CA - Rancho Penasquitos Town Center",$445K
May 2016,"San Diego, CA - Rancho Penasquitos Town Center",$423K
June 2016,"San Diego, CA - Rancho Penasquitos Town Center",$490K
July 2016,"San Diego, CA - Rancho Penasquitos Town Center",$379K
August 2016,"San Diego, CA - Rancho Penasquitos Town Center",$377K
September 2016,"San Diego, CA - Rancho Penasquitos Town Center",$390K
October 2016,"San Diego, CA - Rancho Penasquitos Town Center",$392K
November 2016,"San Diego, CA - Rancho Penasquitos Town Center",$394K
December 2016,"San Diego, CA - Rancho Penasquitos Town Center",$364K
January 2017,"San Diego, CA - Rancho Penasquitos Town Center",$395K
February 2017,"San Diego, CA - Rancho Penasquitos Town Center",$549K
March 2017,"San Diego, CA - Rancho Penasquitos Town Center",$615K
April 2017,"San Diego, CA - Rancho Penasquitos Town Center",$506K
May 2017,"San Diego, CA - Rancho Penasquitos Town Center",$415K
June 2017,"San Diego, CA - Rancho Penasquitos Town Center",$587K
July 2017,"San Diego, CA - Rancho Penasquitos Town Center",$405K
August 2017,"San Diego, CA - Rancho Penasquitos Town Center",$414K
September 2017,"San Diego, CA - Rancho Penasquitos Town Center",$388K
October 2017,"San Diego, CA - Rancho Penasquitos Town Center",$450K
November 2017,"San Diego, CA - Rancho Penasquitos Town Center",$480K
December 2017,"San Diego, CA - Rancho Penasquitos Town Center",$450K
January 2018,"San Diego, CA - Rancho Penasquitos Town Center",$585K
February 2018,"San Diego, CA - Rancho Penasquitos Town Center",$450K
March 2018,"San Diego, CA - Rancho Penasquitos Town Center",$447K
April 2018,"San Diego, CA - Rancho Penasquitos Town Center",$411K
May 2018,"San Diego, CA - Rancho Penasquitos Town Center",$450K
June 2018,"San Diego, CA - Rancho Penasquitos Town Center",$583K
July 2018,"San Diego, CA - Rancho Penasquitos Town Center",$473K
August 2018,"San Diego, CA - Rancho Penasquitos Town Center",$463K
September 2018,"San Diego, CA - Rancho Penasquitos Town Center",$420K
October 2018,"San Diego, CA - Rancho Penasquitos Town Center",$472K
November 2018,"San Diego, CA - Rancho Penasquitos Town Center",$546K
December 2018,"San Diego, CA - Rancho Penasquitos Town Center",$663K
January 2019,"San Diego, CA - Rancho Penasquitos Town Center",$735K
February 2019,"San Diego, CA - Rancho Penasquitos Town Center",$415K
March 2019,"San Diego, CA - Rancho Penasquitos Town Center",$400K
April 2019,"San Diego, CA - Rancho Penasquitos Town Center",$518K
May 2019,"San Diego, CA - Rancho Penasquitos Town Center",$600K
June 2019,"San Diego, CA - Rancho Penasquitos Town Center",$660K
July 2019,"San Diego, CA - Rancho Penasquitos Town Center",$677K
August 2019,"San Diego, CA - Rancho Penasquitos Town Center",$480K
September 2019,"San Diego, CA - Rancho Penasquitos Town Center",$475K
October 2019,"San Diego, CA - Rancho Penasquitos Town Center",$475K
November 2019,"San Diego, CA - Rancho Penasquitos Town Center",$532K
December 2019,"San Diego, CA - Rancho Penasquitos Town Center",$514K
January 2020,"San Diego, CA - Rancho Penasquitos Town Center",$460K
